State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
Wisconsin,2019,0.0,100.0,0.6,345,711,4700,236348.40141235298,0.4231041944960386,0.0014597094710113332
Wyoming,2019,0.0,200.0,-43.4,57,159,200,16730.33964909746,0.0,0.0034069840299431665
Alabama,2020,0.0,200.0,-25.5,224,598,2900,187315.60003973983,0.4804725286143071,0.0011958427378844978
Alaska,2020,0.0,0.0,-10.1,37,68,900,28085.76172095065,0.712104595870047,0.0013173935023595871
Arizona,2020,0.0,0.0,0.3,573,1788,28800,345813.90126014943,2.689307736360714,0.0016569605730480529
Arkansas,2020,0.0,200.0,-27.6,112,350,1300,101387.8841213076,0.39452445769694916,0.0011046684815514576
California,2020,2000.0,108.0,29.2,7689,34924,425300,1755511.151550232,4.306438038473308,0.004379920909764718
Colorado,2020,5000.0,51.88,13.5,1066,3253,24700,204394.6230013313,2.690873135133392,0.005215401385549446
Connecticut,2020,2250.0,0.0,20.1,456,1240,9000,142859.19588555658,1.4699788746412197,0.0031919541277923625
Delaware,2020,2500.0,0.0,19.0,70,206,1900,46063.68062788904,1.302544633475799,0.0015196354057217655
Florida,2020,0.0,0.0,-3.4,1836,5564,58200,1253573.5500681538,1.4279178113662991,0.00146461290596007
Georgia,2020,0.0,213.7,0.2,1008,3661,23500,446675.4996991696,1.0074427639372865,0.0022566717912195218
Hawaii,2020,0.0,50.0,29.5,320,759,10700,69810.74318406217,2.721644138625602,0.004583821707158909
Idaho,2020,0.0,140.0,-30.8,113,281,2300,72044.29961968999,0.9716244084475592,0.0015684794022082027
Illinois,2020,0.0,100.0,17.0,805,2360,26000,489902.5004995294,1.367619065664768,0.0016431841012837884
Indiana,2020,0.0,150.0,-16.1,282,784,7000,230542.60084009965,0.8241426934008639,0.0012232012607318085
Iowa,2020,0.0,130.0,-8.2,188,487,2300,115271.30042004983,0.6072630372427419,0.001630935014309078
Kansas,2020,0.0,70.0,-14.7,246,950,3100,100541.6167441894,0.7956904075209575,0.0024467480031269443
Kentucky,2020,0.0,120.0,-25.9,168,383,2600,128353.70991035059,0.5453679527369479,0.001308883086568675
Louisiana,2020,0.0,100.0,-18.6,141,360,2000,208128.09363147826,0.288284003149709,0.000677467407401816
Maine,2020,0.0,0.0,9.1,220,518,1900,55413.67205940741,1.0827652774152148,0.003970139350522454
Maryland,2020,1500.0,0.0,33.2,884,2776,18000,258068.39459509647,1.8599720463759588,0.003425448518742391
Massachusetts,2020,2500.0,0.0,33.5,1038,3415,21000,293441.1078729988,2.3514087886371793,0.0035373366994281047
Michigan,2020,0.0,145.0,2.8,567,1605,10600,518720.85189022415,0.7711276663399897,0.0010930734670369353
Minnesota,2020,0.0,75.0,7.1,445,1218,10400,205647.18292517535,1.3129282694732531,0.002163900295983695
Mississippi,2020,0.0,150.0,-16.5,104,344,800,103012.00173684656,0.2912282015122636,0.0010095910985758471
Missouri,2020,0.0,105.0,-15.4,508,2060,6700,273769.60164045944,0.6574871677549989,0.0018555748956641082
Montana,2020,0.0,0.0,-16.4,65,188,900,59857.62836064241,0.3341261681719151,0.001085910046558724
Nebraska,2020,0.0,75.0,-19.2,115,287,1800,73875.77379405023,0.6768118617530728,0.0015566672820320675
Nevada,2020,0.0,0.0,2.4,299,1166,11000,130732.52119428974,2.371253894348826,0.002287112627129997
New Hampshire,2020,0.0,0.0,7.4,131,291,2700,98757.50828123504,0.8100649904226151,0.0013264814218170323
New Jersey,2020,2600.0,0.0,15.9,553,1652,30400,481808.2267059489,2.1170248730985524,0.0011477595635524505
New Mexico,2020,0.0,0.0,10.8,120,376,2600,73527.37267237596,0.9520264012683648,0.0016320452593171968
New York,2020,2000.0,0.0,23.1,2036,6134,32600,821307.7523500138,1.168867574003953,0.0024789733132000503
North Carolina,2020,0.0,140.25,-1.3,813,2267,16200,405423.12277875224,1.1346170806617546,0.0020053123621261012
North Dakota,2020,0.0,120.0,-33.4,42,101,200,29986.705605372823,0.0,0.0014006206801348232
Ohio,2020,0.0,200.0,-8.0,656,1845,14500,504311.1499091945,0.8526482114809977,0.001300784248212871
Oklahoma,2020,0.0,110.0,-33.1,263,693,3400,403449.5514701744,0.0,0.0006518782807952698
Oregon,2020,2500.0,91.0,16.1,745,2121,22800,158498.30122040963,2.523686354491303,0.004700365835240051
Pennsylvania,2020,2000.0,0.0,1.2,757,2054,17500,552759.9572492101,0.995006951547386,0.001369491386038857
Rhode Island,2020,0.0,0.0,20.8,148,550,1600,44507.98015104742,1.1233940482204365,0.0033252463827324924
South Carolina,2020,0.0,60.0,-11.7,309,734,4400,203518.883626005,0.6878968551010234,0.0015182866301872587
South Dakota,2020,0.0,50.0,-26.2,45,133,400,27647.892033287513,0.36169122723570385,0.0016276105225606673
Tennessee,2020,0.0,100.0,-23.2,494,1345,7800,244951.2502497647,0.8573134441480635,0.0020167278162340164
Texas,2020,2500.0,0.0,-5.6,1579,4807,52200,1383254.5524692333,0.997647177474729,0.001141510792197534
Utah,2020,0.0,130.25,-20.5,444,1606,11200,144088.59923937998,2.220855790737278,0.0030814374096479733
Vermont,2020,2500.0,0.0,35.4,264,793,2200,43227.00080035983,1.156684458191321,0.006107293939250174
Virginia,2020,0.0,120.0,10.1,814,2531,20500,316995.54986945476,1.7350401298267475,0.0025678593921435863
Washington,2020,0.0,150.0,19.2,1235,3817,50500,282500.6811096078,3.5752126190737528,0.0043716708757981036
